,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Transmission
1,ritz,2014,3.35,5.59,27000,Petrol,Manual
2,sx4,2013,4.75,9.54,43000,Diesel,Manual
3,ciaz,2017,7.25,9.85,6900,Petrol,Manual
4,wagon r,2011,2.85,4.15,5200,Petrol,Manual
5,swift,2014,4.6,6.87,42450,Diesel,Manual
6,vitara brezza,2018,9.25,9.83,2071,Diesel,Manual
7,ciaz,2015,6.75,8.12,18796,Petrol,Manual
8,s cross,2015,6.5,8.61,33429,Diesel,Manual
9,ciaz,2016,8.75,8.89,20273,Diesel,Manual
10,ciaz,2015,7.45,8.92,42367,Diesel,Manual
11,alto 800,2017,2.85,3.6,2135,Petrol,Manual
12,ciaz,2015,6.85,10.38,51000,Diesel,Manual
13,ciaz,2015,7.5,9.94,15000,Petrol,Automatic
14,ertiga,2015,6.1,7.71,26000,Petrol,Manual
15,dzire,2009,2.25,7.21,77427,Petrol,Manual
16,ertiga,2016,7.75,10.79,43000,Diesel,Manual
17,ertiga,2015,7.25,10.79,41678,Diesel,Manual
18,ertiga,2016,7.75,10.79,43000,Diesel,Manual
19,wagon r,2015,3.25,5.09,35500,CNG,Manual
20,sx4,2010,2.65,7.98,41442,Petrol,Manual
21,alto k10,2016,2.85,3.95,25000,Petrol,Manual
22,ignis,2017,4.9,5.71,2400,Petrol,Manual
23,sx4,2011,4.4,8.01,50000,Petrol,Automatic
24,alto k10,2014,2.5,3.46,45280,Petrol,Manual
25,wagon r,2013,2.9,4.41,56879,Petrol,Manual
26,swift,2011,3,4.99,20000,Petrol,Manual
27,swift,2013,4.15,5.87,55138,Petrol,Manual
28,swift,2017,6,6.49,16200,Petrol,Manual
29,alto k10,2010,1.95,3.95,44542,Petrol,Manual
30,ciaz,2015,7.45,10.38,45000,Diesel,Manual
31,ritz,2012,3.1,5.98,51439,Diesel,Manual
32,ritz,2011,2.35,4.89,54200,Petrol,Manual
33,swift,2014,4.95,7.49,39000,Diesel,Manual
34,ertiga,2014,6,9.95,45000,Diesel,Manual
35,dzire,2014,5.5,8.06,45000,Diesel,Manual
36,sx4,2011,2.95,7.74,49998,CNG,Manual
37,dzire,2015,4.65,7.2,48767,Petrol,Manual
38,800,2003,0.35,2.28,127000,Petrol,Manual
39,alto k10,2016,3,3.76,10079,Petrol,Manual
40,sx4,2003,2.25,7.98,62000,Petrol,Manual
41,baleno,2016,5.85,7.87,24524,Petrol,Automatic
42,alto k10,2014,2.55,3.98,46706,Petrol,Manual
43,sx4,2008,1.95,7.15,58000,Petrol,Manual
44,dzire,2014,5.5,8.06,45780,Diesel,Manual
45,omni,2012,1.25,2.69,50000,Petrol,Manual
46,ciaz,2014,7.5,12.04,15000,Petrol,Automatic
47,ritz,2013,2.65,4.89,64532,Petrol,Manual
48,wagon r,2006,1.05,4.15,65000,Petrol,Manual
49,ertiga,2015,5.8,7.71,25870,Petrol,Manual
50,ciaz,2017,7.75,9.29,37000,Petrol,Automatic
51,fortuner,2012,14.9,30.61,104707,Diesel,Automatic
52,fortuner,2015,23,30.61,40000,Diesel,Automatic
53,innova,2017,18,19.77,15000,Diesel,Automatic
54,fortuner,2013,16,30.61,135000,Diesel,Automatic
55,innova,2005,2.75,10.21,90000,Petrol,Manual
56,corolla altis,2009,3.6,15.04,70000,Petrol,Automatic
57,etios cross,2015,4.5,7.27,40534,Petrol,Manual
58,corolla altis,2010,4.75,18.54,50000,Petrol,Manual
59,etios g,2014,4.1,6.8,39485,Petrol,Manual
60,fortuner,2014,19.99,35.96,41000,Diesel,Automatic
61,corolla altis,2013,6.95,18.61,40001,Petrol,Manual
62,etios cross,2015,4.5,7.7,40588,Petrol,Manual
63,fortuner,2014,18.75,35.96,78000,Diesel,Automatic
64,fortuner,2015,23.5,35.96,47000,Diesel,Automatic
65,fortuner,2017,33,36.23,6000,Diesel,Automatic
66,etios liva,2014,4.75,6.95,45000,Diesel,Manual
67,innova,2017,19.75,23.15,11000,Petrol,Automatic
68,fortuner,2010,9.25,20.45,59000,Diesel,Manual
69,corolla altis,2011,4.35,13.74,88000,Petrol,Manual
70,corolla altis,2016,14.25,20.91,12000,Petrol,Manual
71,etios liva,2014,3.95,6.76,71000,Diesel,Manual
72,corolla altis,2011,4.5,12.48,45000,Diesel,Manual
73,corolla altis,2013,7.45,18.61,56001,Petrol,Manual
74,etios liva,2011,2.65,5.71,43000,Petrol,Manual
75,etios cross,2014,4.9,8.93,83000,Diesel,Manual
76,etios g,2015,3.95,6.8,36000,Petrol,Manual
77,corolla altis,2013,5.5,14.68,72000,Petrol,Manual
78,corolla,2004,1.5,12.35,135154,Petrol,Automatic
79,corolla altis,2010,5.25,22.83,80000,Petrol,Automatic
80,fortuner,2012,14.5,30.61,89000,Diesel,Automatic
81,corolla altis,2016,14.73,14.89,23000,Diesel,Manual
82,etios gd,2015,4.75,7.85,40000,Diesel,Manual
83,innova,2017,23,25.39,15000,Diesel,Automatic
84,innova,2015,12.5,13.46,38000,Diesel,Manual
85,innova,2005,3.49,13.46,197176,Diesel,Manual
86,camry,2006,2.5,23.73,142000,Petrol,Automatic
87,land cruiser,2010,35,92.6,78000,Diesel,Manual
88,corolla altis,2012,5.9,13.74,56000,Petrol,Manual
89,etios liva,2013,3.45,6.05,47000,Petrol,Manual
90,etios g,2014,4.75,6.76,40000,Petrol,Manual
91,corolla altis,2009,3.8,18.61,62000,Petrol,Manual
92,innova,2014,11.25,16.09,58242,Diesel,Manual
93,innova,2005,3.51,13.7,75000,Petrol,Manual
94,fortuner,2015,23,30.61,40000,Diesel,Automatic
95,corolla altis,2008,4,22.78,89000,Petrol,Automatic
96,corolla altis,2012,5.85,18.61,72000,Petrol,Manual
97,innova,2016,20.75,25.39,29000,Diesel,Automatic
98,corolla altis,2017,17,18.64,8700,Petrol,Manual
99,corolla altis,2013,7.05,18.61,45000,Petrol,Manual
100,fortuner,2010,9.65,20.45,50024,Diesel,Manual
101,Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Manual
102,UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Manual
103,KTM RC200,2017,1.65,1.78,4000,Petrol,Manual
104,Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Manual
105,Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Manual
106,KTM RC390,2015,1.35,2.37,21700,Petrol,Manual
107,Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Manual
108,Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Manual
109,Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Manual
110,Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Manual
111,KTM RC200,2016,1.2,1.78,6000,Petrol,Manual
112,Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Manual
113,KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Manual
114,Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Manual
115,Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Manual
116,Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Manual
117,Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Manual
118,Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Manual
119,Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Manual
120,Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Manual
121,Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Manual
122,Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Manual
123,Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Manual
124,Royal Enfield Classic 350,2013,1,1.47,46500,Petrol,Manual
125,Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Manual
126,Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Manual
127,Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Manual
128,Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Manual
129,Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Manual
130,Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Manual
131,Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Manual
132,Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Manual
133,Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Manual
134,Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Manual
135,TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Manual
136,Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Manual
137,Honda CBR 150,2014,0.65,1.2,23500,Petrol,Manual
138,Hero Extreme,2013,0.65,0.787,16000,Petrol,Manual
139,Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Manual
140,Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Manual
141,Honda CBR 150,2013,0.6,1.2,32000,Petrol,Manual
142,Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Manual
143,Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Manual
144,Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Manual
145,Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Manual
146,TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Manual
147,Hero Extreme,2014,0.55,0.787,15000,Petrol,Manual
148,Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Manual
149,Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Manual
150,Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Manual
151,TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Manual
152,Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Manual
153,Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Manual
154,Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Manual
155,Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Manual
156,Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Automatic
157,TVS Sport ,2017,0.48,0.52,15000,Petrol,Manual
158,Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Manual
159,Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Manual
160,Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Automatic
161,Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Manual
162,TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Manual
163,Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Manual
164,Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Manual
165,Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Manual
166,Activa 3g,2016,0.45,0.54,500,Petrol,Automatic
167,Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Manual
168,TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Manual
169,Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Manual
170,Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Manual
171,Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Manual
172,Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Manual
173,Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Manual
174,Activa 4g,2017,0.4,0.51,1300,Petrol,Automatic
175,Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Manual
176,Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Manual
177,Honda Karizma,2011,0.35,1.05,30000,Petrol,Manual
178,Honda Activa 125,2016,0.35,0.57,24000,Petrol,Automatic
179,TVS Jupyter,2014,0.35,0.52,19000,Petrol,Automatic
180,Honda Karizma,2010,0.31,1.05,213000,Petrol,Manual
181,Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Manual
182,Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Manual
183,Honda CB Shine,2013,0.3,0.58,30000,Petrol,Manual
184,Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Manual
185,Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Manual
186,Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Automatic
187,TVS Wego,2010,0.25,0.52,22000,Petrol,Automatic
188,Honda CB twister,2013,0.25,0.51,32000,Petrol,Manual
189,Hero Glamour,2013,0.25,0.57,18000,Petrol,Manual
190,Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Manual
191,Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Manual
192,Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Manual
193,Hero Hunk,2007,0.2,0.75,49000,Petrol,Manual
194,Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Manual
195,Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Manual
196,Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Manual
197,Activa 3g,2008,0.17,0.52,500000,Petrol,Automatic
198,Honda CB twister,2010,0.16,0.51,33000,Petrol,Manual
199,Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Manual
200,Honda CB Shine,2007,0.12,0.58,53000,Petrol,Manual
201,Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Manual
202,i20,2010,3.25,6.79,58000,Diesel,Manual
203,grand i10,2015,4.4,5.7,28200,Petrol,Manual
204,i10,2011,2.95,4.6,53460,Petrol,Manual
205,eon,2015,2.75,4.43,28282,Petrol,Manual
206,grand i10,2016,5.25,5.7,3493,Petrol,Manual
207,xcent,2017,5.75,7.13,12479,Petrol,Manual
208,grand i10,2015,5.15,5.7,34797,Petrol,Automatic
209,i20,2017,7.9,8.1,3435,Petrol,Manual
210,grand i10,2015,4.85,5.7,21125,Diesel,Manual
211,i10,2012,3.1,4.6,35775,Petrol,Manual
212,elantra,2015,11.75,14.79,43535,Diesel,Manual
213,creta,2016,11.25,13.6,22671,Petrol,Manual
214,i20,2011,2.9,6.79,31604,Petrol,Manual
215,grand i10,2017,5.25,5.7,20114,Petrol,Manual
216,verna,2012,4.5,9.4,36100,Petrol,Manual
217,eon,2016,2.9,4.43,12500,Petrol,Manual
218,eon,2016,3.15,4.43,15000,Petrol,Manual
219,verna,2014,6.45,9.4,45078,Petrol,Manual
220,verna,2012,4.5,9.4,36000,Petrol,Manual
221,eon,2017,3.5,4.43,38488,Petrol,Manual
222,i20,2013,4.5,6.79,32000,Petrol,Automatic
223,i20,2014,6,7.6,77632,Diesel,Manual
224,verna,2015,8.25,9.4,61381,Diesel,Manual
225,verna,2013,5.11,9.4,36198,Petrol,Automatic
226,i10,2011,2.7,4.6,22517,Petrol,Manual
227,grand i10,2015,5.25,5.7,24678,Petrol,Manual
228,i10,2011,2.55,4.43,57000,Petrol,Manual
229,verna,2012,4.95,9.4,60000,Diesel,Manual
230,i20,2012,3.1,6.79,52132,Diesel,Manual
231,verna,2013,6.15,9.4,45000,Diesel,Manual
232,verna,2017,9.25,9.4,15001,Petrol,Manual
233,elantra,2015,11.45,14.79,12900,Petrol,Automatic
234,grand i10,2013,3.9,5.7,53000,Diesel,Manual
235,grand i10,2015,5.5,5.7,4492,Petrol,Manual
236,verna,2017,9.1,9.4,15141,Petrol,Manual
237,eon,2016,3.1,4.43,11849,Petrol,Manual
238,creta,2015,11.25,13.6,68000,Diesel,Manual
239,verna,2013,4.8,9.4,60241,Petrol,Manual
240,eon,2012,2,4.43,23709,Petrol,Manual
241,verna,2012,5.35,9.4,32322,Diesel,Manual
242,xcent,2015,4.75,7.13,35866,Petrol,Manual
243,xcent,2014,4.4,7.13,34000,Petrol,Manual
244,i20,2016,6.25,7.6,7000,Petrol,Manual
245,verna,2013,5.95,9.4,49000,Diesel,Manual
246,verna,2012,5.2,9.4,71000,Diesel,Manual
247,i20,2012,3.75,6.79,35000,Petrol,Manual
248,verna,2015,5.95,9.4,36000,Petrol,Manual
249,i10,2013,4,4.6,30000,Petrol,Manual
250,i20,2016,5.25,7.6,17000,Petrol,Manual
251,creta,2016,12.9,13.6,35934,Diesel,Manual
252,city,2013,5,9.9,56701,Petrol,Manual
253,brio,2015,5.4,6.82,31427,Petrol,Automatic
254,city,2014,7.2,9.9,48000,Diesel,Manual
255,city,2013,5.25,9.9,54242,Petrol,Manual
256,brio,2012,3,5.35,53675,Petrol,Manual
257,city,2016,10.25,13.6,49562,Petrol,Manual
258,city,2015,8.5,13.6,40324,Petrol,Manual
259,city,2015,8.4,13.6,25000,Petrol,Manual
260,amaze,2014,3.9,7,36054,Petrol,Manual
261,city,2016,9.15,13.6,29223,Petrol,Manual
262,brio,2016,5.5,5.97,5600,Petrol,Manual
263,amaze,2015,4,5.8,40023,Petrol,Manual
264,jazz,2016,6.6,7.7,16002,Petrol,Manual
265,amaze,2015,4,7,40026,Petrol,Manual
266,jazz,2017,6.5,8.7,21200,Petrol,Manual
267,amaze,2014,3.65,7,35000,Petrol,Manual
268,city,2016,8.35,9.4,19434,Diesel,Manual
269,brio,2017,4.8,5.8,19000,Petrol,Manual
270,city,2015,6.7,10,18828,Petrol,Manual
271,city,2011,4.1,10,69341,Petrol,Manual
272,city,2009,3,10,69562,Petrol,Manual
273,city,2015,7.5,10,27600,Petrol,Manual
274,jazz,2010,2.25,7.5,61203,Petrol,Manual
275,brio,2014,5.3,6.8,16500,Petrol,Manual
276,city,2016,10.9,13.6,30753,Petrol,Automatic
277,city,2015,8.65,13.6,24800,Petrol,Manual
278,city,2015,9.7,13.6,21780,Petrol,Manual
279,jazz,2016,6,8.4,4000,Petrol,Manual
280,city,2014,6.25,13.6,40126,Petrol,Manual
281,brio,2015,5.25,5.9,14465,Petrol,Manual
282,city,2006,2.1,7.6,50456,Petrol,Manual
283,city,2014,8.25,14,63000,Diesel,Manual
284,city,2016,8.99,11.8,9010,Petrol,Manual
285,brio,2013,3.5,5.9,9800,Petrol,Manual
286,jazz,2016,7.4,8.5,15059,Petrol,Automatic
287,jazz,2016,5.65,7.9,28569,Petrol,Manual
288,amaze,2015,5.75,7.5,44000,Petrol,Automatic
289,city,2015,8.4,13.6,34000,Petrol,Manual
290,city,2016,10.11,13.6,10980,Petrol,Manual
291,amaze,2014,4.5,6.4,19000,Petrol,Manual
292,brio,2015,5.4,6.1,31427,Petrol,Manual
293,jazz,2016,6.4,8.4,12000,Petrol,Manual
294,city,2010,3.25,9.9,38000,Petrol,Manual
295,amaze,2014,3.75,6.8,33019,Petrol,Manual
296,city,2015,8.55,13.09,60076,Diesel,Manual
297,city,2016,9.5,11.6,33988,Diesel,Manual
298,brio,2015,4,5.9,60000,Petrol,Manual
299,city,2009,3.35,11,87934,Petrol,Manual
300,city,2017,11.5,12.5,9000,Diesel,Manual
301,brio,2016,5.3,5.9,5464,Petrol,Manual
